CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
26057;5015;10525;20200;49;16;s;18;19;17;13;s;6;29;65,1;57,9;3,3;3,9;29,6;11,9;7,7;2,5;3,4;1,8;-14,3;11300;33220;2,9
26058;8885;19440;20980;54;15;22;17;19;14;10;s;6;29;67,4;59,9;3,4;4,1;31,3;9,6;7;2,3;3;1,7;-15,3;11590;35600;3,1
26059;104;204;20440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26060;69;136;15940;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26061;261;645;21800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26062;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26063;1071;2059;20080;48;18;s;s;s;s;s;s;s;32;45,3;36,2;3,3;5,8;47,2;16;6,1;1,6;2,9;1,6;-14,6;10810;35770;3,3
26064;2921;7111;23610;61;9;s;s;s;s;s;s;5;21;72,6;64,2;2,8;5,6;29,3;10,4;4,4;2;1,6;0,8;-16,7;13550;40680;3
26065;300;743;23370;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26066;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26067;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26068;80;219;21380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26069;54;119;17300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26070;247;550;20910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26071;453;1124;24270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26072;485;1297;22260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26073;103;251;23920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26074;346;770;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26075;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26076;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26077;360;892;23050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26078;332;812;21530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26079;564;1523;22980;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26081;229;590;23770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26082;44;102;17010;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26083;654;1545;19940;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26084;1675;4357;22910;59;7;s;s;s;s;s;s;s;s;79,6;70,4;3;6,2;21,6;10,4;4,3;2,1;1,5;0,7;-15,9;14360;36840;2,6
26085;1101;2677;21370;57;12;s;s;s;s;s;s;s;s;73,1;62,4;3,2;7,5;28;9,1;5,6;2,8;1,9;0,9;-15,8;12670;35450;2,8
26086;360;634;19900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26087;512;1342;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26088;2521;6454;23430;61;6;s;s;s;s;s;s;s;14;77;69,6;2,6;4,8;24,7;10,3;4,3;2,2;1,4;0,7;-16,3;14730;38130;2,6
26089;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26090;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26091;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26092;269;721;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26093;216;491;24900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26094;369;908;20530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26095;427;981;20470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26096;820;2039;22030;55;s;s;s;s;s;s;s;s;s;75,2;66;3,1;6,1;24,9;10;5,6;2,6;2,1;0,9;-15,7;13440;35470;2,6
26097;255;579;23690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26098;72;166;19280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26099;224;532;22620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26100;179;434;22990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
26101;61;143;18460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
