COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
26113,1.0,0.0,1.0,37.19,50.65,LMDM,LDVG,0.22455664553083818,0.2840670859538784,0.05951044042304024,0.04269237098454774,0.05870020964360587,4516.0,4770.0,254.0,18186.6666666667,20160
26165,0.0,0.0,0.0,55.08,35.61,LUDI,LDIV,0.15803070041172193,0.1797060730494921,0.02167537263777017,0.044896195671352314,0.04862762048843743,8927.000000000022,9254.0,326.9999999999782,19592.3333333333,21140
26235,0.0,0.0,0.0,60.14,38.7,LUDI,LDVD,0.13913208501861596,0.1601653194887108,0.021033234470094836,0.03899628828574825,0.03454510754536838,13071.000000000002,13707.999999999996,636.9999999999945,18467.0,19340
26281,0.0,0.0,0.0,46.3,53.52,LDVD,LDVD,0.17148674567398786,0.19258094593749767,0.021094200263509805,0.04792071909924523,0.047168791852352364,33366.0,32817.99999999999,-548.0000000000073,17503.9130434783,19400
26301,0.0,0.0,0.0,48.11,43.5,LDVD,LDIV,0.17358857881212175,0.2100207465068789,0.036432167694757156,0.059232384140009295,0.051205855032153004,3922.999999999992,4294.0,371.0000000000082,19944.0,22060
27229,0.0,0.0,0.0,51.74,50.97,LUD,LUD,0.17197006372497903,0.19059320732250387,0.018623143597524844,0.05749286681716237,0.057822704051989464,49460.99999999999,46868.99999999999,-2592.0,16793.3333333333,18040
27275,-1.0,1.0,0.0,53.32,60.86,LSOC,LDIV,0.12452188695282618,0.13634975442947095,0.011827867476644771,0.04037399065023375,0.0512249711720098,7059.0,6833.0,-226.0,17818.1481481481,18430
27284,0.0,0.0,0.0,57.72,56.07,LDVD,LLR,0.11623649650818318,0.13036581455469926,0.01412931804651607,0.036800873730633225,0.036143576314910976,11369.000000000004,11863.000000000013,494.0000000000091,18690.3333333333,19790
28088,1.0,0.0,1.0,30.12,51.21,LDVD,LDVG,0.11434535191011944,0.13207891786253603,0.017733565952416597,0.030105755211717152,0.029837656080936085,13263.999999999996,12949.0,-314.99999999999636,17657.3333333333,18630
28134,0.0,0.0,0.0,48.1,58.76,LUD,LDVD,0.12441335529049673,0.1367988666026485,0.012385511312151778,0.03389780584587947,0.04179985030857842,31190.999999999993,30743.999999999993,-447.0,16066.0,17230
