COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13;Score_Gauche_Ecolo_2020;Score_Bloc_Gauche_2014
01390;1247,0;2,429836785730286;5,709580920511318;23830,0;22067,3333333333;0,0;0,0
01397;988,0;3,3810786306474867;4,677753455346831;40590,0;36092,6666666667;0,0;0,0
01398;1438,0;-0,0795222712840324;7,1262033997590635;24680,0;22708,7777777778;0,0;0,0
01399;2145,0;5,023345349629963;6,295875450685138;40960,0;36587,7777777778;0,0;38,045375218150085
01401;2209,0;6,70459889024734;0,4840369437183653;41210,0;38509,5238095238;0,0;59,069020866773684
01403;1310,0;5,354617094362498;1,6199918511476312;21480,0;19902,0;0,0;100,0
01405;1273,0;2,561788890836647;2,699679680417024;21680,0;20328,8;0,0;0,0
01416;1012,0;-1,0654175865357165;-5,56621798304038;19300,0;17848,0;0,0;54,40528634361234
01418;1103,0;-1,914644507103368;4,931019731290565;29970,0;26382,0;0,0;0,0
01419;6119,0;4,041912213747928;1,83706859796672;36890,0;32700,6666666667;0,0;0,0
01420;1664,0;-0,7071768894249613;2,5144388674921583;18900,0;17392,0;0,0;0,0
01422;1354,0;-1,1925046487286064;3,6140932285600655;24860,0;22722,4;0,0;61,29985228951256
01423;1169,0;-12,300026557103555;5,435977663732935;26110,0;24674,0;0,0;0,0
01424;1823,0;-0,018796992481203;3,457302011392855;30170,0;27558,5714285714;0,0;0,0
01426;2506,0;0,0853820762762245;1,9589415384142337;22890,0;20926,5;0,0;100,0
01427;6945,000000000009;-0,676476613319414;3,733601779935558;22100,0;20763,8888888889;0,0;44,194455604660504
01431;1224,0;0,5066089394694409;4,660415892982147;23780,0;21245,2;0,0;0,0
01435;2146,0;-3,507477092911106;2,5250699194065476;38060,0;32032,8571428571;0,0;0,0
01443;4946,0;2,5892859952525447;2,753453597106013;23010,0;21743,3333333333;33,0130404941661;40,721911540416876
01444;1195,0;-1,432701654337829;5,701545463642876;21310,0;20278,0;0,0;0,0
01446;1562,0;-2,016753144793192;2,4424701611614914;24550,0;22120,0;0,0;0,0
01447;1345,0;-1,8408790345684152;3,8755161841096104;21570,0;20046,0;0,0;0,0
01450;3755,0;-0,0801696617730041;18,160505026895507;25610,0;23136,0;0,0;0,0
01451;6665,0;0,0688627382914841;2,092461487127629;24190,0;22052,8571428571;0,0;24,42799461641992
01452;1127,0;-0,7345801548995765;3,195311588563918;19830,0;18173,0;0,0;0,0
01454;1118,0;0,4339352150823572;3,930866822535236;21930,0;19623,0;0,0;0,0
01457;3198,0;0,7259327512706801;4,269563794069164;20780,0;19073,3333333333;0,0;0,0
02003;1019,0;-2,863644251824578;0,2651848501496303;22210,0;20505,3333333333;0,0;0,0
02011;1159,0;-1,2940052822641217;7,03981018821047;22820,0;21080,4;0,0;47,65217391304348
02018;2587,0;-0,6113964818306945;0,2884561742498022;19860,0;18155,3333333333;0,0;44,397463002114165
02028;2597,0;0,1069866202420168;2,2594398422138866;21760,0;20000,0;0,0;100,0
02037;1380,0;1,557071899503653;2,4141873538639445;21000,0;19619,0;0,0;0,0
02057;1411,0;0,4158616331096219;5,102595182599215;18060,0;16548,0;0,0;0,0
02059;2718,0;0,360924537407032;0,2161933224673351;16680,0;16053,0;0,0;0,0
02064;3762,0;2,3228820048637773;2,2513033514154586;19650,0;18466,0;100,0;64,73429951690821
02085;1003,0;1,0565871839275731;3,9565523179253574;22730,0;19808,0952380952;0,0;0,0
02086;999,0;0,6606921403720714;0,3174711308089826;21330,0;20029,5;0,0;0,0
02089;1146,0;0,6352039023667517;4,7981290438438045;21050,0;20113,9047619048;0,0;0,0
02093;1306,0;1,6788065304431052;1,3443371367879775;19220,0;17452,1739130435;0,0;100,0
02095;5703,0;0,4665373583884227;0,5083384165560254;15180,0;14338,3333333333;100,0;85,23809523809524
02103;1331,0;-0,0271207367471317;2,785384048879063;19130,0;17802,5;0,0;100,0
02110;2232,0;2,6543793870470695;1,702643331019992;19260,0;18226,6666666667;0,0;0,0
02114;1558,0;-0,7612616830532675;2,673069743740264;22070,0;20993,6;0,0;100,0
02128;1447,0;1,3531209079004825;2,8954443294486545;23650,0;21060,0;0,0;100,0
02131;1883,0;0,6639668322209298;4,705336716477799;22060,0;20791,4285714286;0,0;0,0
02135;1148,0;-2,749282143094408;1,3219432283447166;17930,0;15968,0833333333;0,0;0,0
02141;1772,0;-0,0613949040174612;0,1979804664011748;17390,0;16720,0;0,0;0,0
02163;2585,0;-0,2720621389048334;-0,1228530975408794;20490,0;19138,5714285714;0,0;50,70688030160226
02165;1655,0;-0,2715967183575682;3,177921401321221;19710,0;18225,0;0,0;0,0
02168;15305,999999999996;-0,8970734775995206;-0,4859000112777458;18310,0;17385,0;0,0;73,08647083160943
02173;11437,99999999999;0,6207920208558315;3,4634785465543914;17730,0;16356,6666666667;0,0;30,37583254043768
02186;1336,0;2,626368239561834;7,48736667016923;22910,0;21585,3846153846;0,0;35,50834597875569
02187;1146,0;-2,58283425282755;-0,8189928304612693;24050,0;21401,3333333333;0,0;100,0
02203;1268,0;1,6128457013959894;1,2395577499745656;19240,0;18025,0;0,0;92,95774647887323
02217;992,0;1,2079864045536397;3,2553828830184486;20660,0;18638,0;0,0;59,69289827255279
02226;1877,0;-0,4005688446668918;1,1952600971862015;21510,0;19761,0;0,0;38,70292887029289
02237;1499,0;0,3085000890748555;2,3488416467890154;19200,0;17557,7777777778;0,0;0,0
