Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
38193,L'Isle-d'Abeau,4.0,LDVC,F,SIMON,Catherine,LE RENOUVEAU DE L'ISLE D'ABEAU,5.0,0.0,2.0,790.0,8.4,29.67,no
38212,Livet-et-Gavet,3.0,LNC,M,PULCI,Calogero,AGIR POUR UN AVENIR MEILLEUR,3.0,0.0,1.0,217.0,24.94,43.06,no
38212,Livet-et-Gavet,1.0,LNC,M,DUPONT,Gilbert,Continuons d'agir,12.0,0.0,3.0,287.0,32.99,56.94,yes
38225,Autrans-Méaudre en Vercors,1.0,LNC,M,ARNAUD,Hubert,AUTRANS-MEAUDRE DEMAIN,20.0,0.0,6.0,678.0,25.87,43.24,yes
38225,Autrans-Méaudre en Vercors,3.0,LNC,M,CABROL,Christophe,Autrans Méaudre avec vous,5.0,0.0,1.0,592.0,22.59,37.76,no
38225,Autrans-Méaudre en Vercors,2.0,LNC,F,AGOFROY,Lorraine,Méautransition,2.0,0.0,0.0,298.0,11.37,19.01,no
38229,Meylan,1.0,LDVG,M,CARDIN,Philippe,AIMEylan,26.0,0.0,2.0,3520.0,25.18,53.86,yes
38229,Meylan,3.0,LREM,F,HOURS,Joëlle,Joëlle Hours - Sincèrement Meylan,7.0,0.0,1.0,3015.0,21.57,46.14,no
38239,Moirans,3.0,LDVD,M,JULIEN,Gilles,MOIRANS 2020 TOUS CONCERNES,4.0,0.0,0.0,835.0,13.88,32.52,no
38239,Moirans,2.0,LDVD,M,FERRANTE,François,MOIRANS MA VILLE,5.0,0.0,1.0,858.0,14.26,33.41,no
38239,Moirans,1.0,LDVG,F,ZULIAN,Valérie,OSONS MOIRANS,20.0,0.0,4.0,875.0,14.54,34.07,yes
38253,Les Deux-Alpes,3.0,LNC,M,SAUVEBOIS,Stéphane,LES DEUX ALPES AUJOURD'HUI ET DEMAIN,5.0,0.0,1.0,591.0,32.1,46.43,no
38253,Les Deux-Alpes,2.0,LNC,M,CAIOLO,Patrice,Pour une commune entreprenante et humaine,0.0,0.0,0.0,62.0,3.37,4.87,no
38253,Les Deux-Alpes,1.0,LNC,M,AUBERT,Christophe,Ambitions 2 Alpes,18.0,0.0,6.0,620.0,33.68,48.7,yes
38298,Le Péage-de-Roussillon,3.0,LDVG,M,MONDANGE,André,RASSEMBLÉS POUR LE PÉAGE,20.0,0.0,4.0,416.0,11.34,37.38,yes
38298,Le Péage-de-Roussillon,4.0,LDVC,M,COURION,Sébastien,Réussir ensemble,4.0,0.0,1.0,346.0,9.44,31.09,no
38298,Le Péage-de-Roussillon,5.0,LDVD,M,GUIGUI,Charles,AGIR POUR LE PÉAGE,5.0,0.0,1.0,351.0,9.57,31.54,no
38337,Rives,1.0,LDVG,F,GOMMET,Catherine,RIVES EN TRANSPARENCE,2.0,0.0,0.0,314.0,7.42,16.59,no
38337,Rives,2.0,LDVG,M,DEZEMPTE,Alain,RIVES GAUCHE,5.0,0.0,1.0,698.0,16.51,36.87,no
38337,Rives,5.0,LDVD,M,STEVANT,Julien,ENSEMBLE DYNAMIQUE RIVES,22.0,0.0,3.0,881.0,20.83,46.54,yes
38374,Saint-Chef,2.0,LDVC,F,MANDRON,Arlette,NOTRE ENGAGEMENT SERA VOTRE FORCE,3.0,0.0,0.0,318.0,12.51,25.0,no
